click_rate_click_user_cnt,click_rate_show_user_cnt,click_rate_click_rate,chat_start_rate_chat_user_cnt,chat_start_rate_click_user_cnt,chat_start_rate_chat_start_rate,avg_chat_rounds_total_chat_rounds,avg_chat_rounds_chat_user_cnt,avg_chat_rounds_avg_chat_rounds,sticky_score_total_return_users,sticky_score_sticky_score,avg_chat_rounds_user_total_chat_rounds,avg_chat_rounds_user_total_user_cnt,avg_chat_rounds_user_avg_chat_rounds_per_user,avg_retention_days_user_cnt,avg_retention_days_avg_retention_days,prompt_id,bot_type,event_date,avg_chat_rounds_user_error
3473.0,26752.0,0.1298,1846.0,3473.0,0.5315,40895.0,1846.0,22.15,3475,1306679,454671.0,17776.0,25.58,0.0,,YNPHLWWXZ38amS3NhZHxr,non_sora,2025-01-01,
3659.0,27577.0,0.1327,2384.0,3659.0,0.6515,37105.0,2384.0,15.56,2548,750453,282857.0,15905.0,17.78,0.0,,-6KZyM1ya82yMGLVD4qIf,non_sora,2025-01-01,
2607.0,22318.0,0.1168,1550.0,2607.0,0.5946,29337.0,1550.0,18.93,2753,1397040,413187.0,18895.0,21.87,0.0,,Sd4Yl-TJp6SNIplWMZapH,non_sora,2025-01-01,
1721.0,28297.0,0.0608,1118.0,1721.0,0.6496,25008.0,1118.0,22.37,772,501247,172516.0,6533.0,26.41,0.0,,_H_SDoIqxGTtmG_M5cPfM,non_sora,2025-01-01,
2198.0,26095.0,0.0842,1346.0,2198.0,0.6124,21755.0,1346.0,16.16,2342,1065209,310662.0,15888.0,19.55,0.0,,odvQMgn0TWi5VWBxi4EUu,non_sora,2025-01-01,
3026.0,25268.0,0.1198,1917.0,3026.0,0.6335,20672.0,1917.0,10.78,1340,330349,146230.0,12426.0,11.77,0.0,,-j-bavldqI3LkZjTCfgZv,non_sora,2025-01-01,
2606.0,10754.0,0.2423,1642.0,2606.0,0.6301,19701.0,1642.0,12.0,0,,19701.0,1642.0,12.0,0.0,,EFLCYD9B1cziy5N8HVJHd,non_sora,2025-01-01,
1262.0,23490.0,0.0537,798.0,1262.0,0.6323,19263.0,798.0,24.14,338,196864,97653.0,3520.0,27.74,0.0,,Fz-LymD1B5c4e8uNZMNj_,non_sora,2025-01-01,
2032.0,25529.0,0.0796,1300.0,2032.0,0.6398,19305.0,1300.0,14.85,1353,441358,167245.0,10604.0,15.77,0.0,,smqFk-FY56jedPsjXRIZf,non_sora,2025-01-01,
1253.0,19375.0,0.0647,758.0,1253.0,0.6049,18863.0,758.0,24.89,1353,810008,298297.0,9649.0,30.91,0.0,,_E84Z-l-45KFbS9ddmLcO,non_sora,2025-01-01,
3832.0,29154.0,0.1314,1985.0,3832.0,0.518,47226.0,1985.0,23.79,3651,1431628,481936.0,18295.0,26.34,0.0,,YNPHLWWXZ38amS3NhZHxr,non_sora,2025-01-02,
4090.0,29328.0,0.1395,2720.0,4090.0,0.665,44186.0,2720.0,16.24,2868,877618,313008.0,17171.0,18.23,0.0,,-6KZyM1ya82yMGLVD4qIf,non_sora,2025-01-02,
3641.0,29785.0,0.1222,2183.0,3641.0,0.5996,39791.0,2183.0,18.23,2926,1479991,438468.0,19989.0,21.94,0.0,,Sd4Yl-TJp6SNIplWMZapH,non_sora,2025-01-02,
1711.0,22724.0,0.0753,1025.0,1711.0,0.5991,35515.0,1025.0,34.65,44,21979,47018.0,1429.0,32.9,0.0,,LpBXN68u6gNM5NSB6BD1A,non_sora,2025-01-02,
2916.0,32420.0,0.0899,1755.0,2916.0,0.6019,30206.0,1755.0,17.21,2475,1132112,327619.0,16538.0,19.81,0.0,,odvQMgn0TWi5VWBxi4EUu,non_sora,2025-01-02,
1786.0,30104.0,0.0593,1121.0,1786.0,0.6277,29662.0,1121.0,26.46,934,620438,202178.0,7420.0,27.25,0.0,,_H_SDoIqxGTtmG_M5cPfM,non_sora,2025-01-02,
2679.0,16608.0,0.1613,1894.0,2679.0,0.707,27873.0,1894.0,14.72,222,64305,42968.0,3030.0,14.18,0.0,,2ocMImb7ReSu3RKozkbuV,non_sora,2025-01-02,
3274.0,24193.0,0.1353,2101.0,3274.0,0.6417,24732.0,2101.0,11.77,1482,389878,163224.0,13353.0,12.22,0.0,,-j-bavldqI3LkZjTCfgZv,non_sora,2025-01-02,
2221.0,32156.0,0.0691,1128.0,2221.0,0.5079,23361.0,1128.0,20.71,1216,650383,203168.0,9038.0,22.48,0.0,,60LJPpsh-Y1xrEm8HLf11,non_sora,2025-01-02,
2816.0,28842.0,0.0976,1119.0,2816.0,0.3974,23226.0,1119.0,20.76,1523,979536,255153.0,11041.0,23.11,0.0,,3wQALO7A5GuBvZ9ytpHPA,non_sora,2025-01-02,
2.0,47.0,0.0426,1.0,2.0,0.5,35.0,1.0,35.0,2,1667,272.0,7.0,38.86,0.0,,6GaY6yFp35TpMVXCEZZVV,sora,2025-01-03,
3607.0,26835.0,0.1344,1819.0,3607.0,0.5043,53607.0,1819.0,29.47,3743,1537812,514700.0,18593.0,27.68,195.0,1.66,YNPHLWWXZ38amS3NhZHxr,non_sora,2025-01-03,
3815.0,27048.0,0.141,2418.0,3815.0,0.6338,43309.0,2418.0,17.91,3283,1020105,354959.0,18863.0,18.82,6.0,3.33,-6KZyM1ya82yMGLVD4qIf,non_sora,2025-01-03,
1500.0,18720.0,0.0801,994.0,1500.0,0.6627,40345.0,994.0,40.59,419,454061,127486.0,3205.0,39.78,0.0,,fho5Qv5D08E3khGR3Xxa9,non_sora,2025-01-03,
3224.0,27807.0,0.1159,1903.0,3224.0,0.5903,38404.0,1903.0,20.18,3093,1579097,462006.0,20617.0,22.41,166.0,1.98,Sd4Yl-TJp6SNIplWMZapH,non_sora,2025-01-03,
7125.0,37540.0,0.1898,3835.0,7125.0,0.5382,36719.0,3835.0,9.57,292,60262,59317.0,6041.0,9.82,4.0,1.25,IbTJr9QKrx3Zb1g17aXXk,non_sora,2025-01-03,
2279.0,20895.0,0.1091,1233.0,2279.0,0.541,31551.0,1233.0,25.59,478,208612,117499.0,4915.0,23.91,1.0,3.0,Cy0sgfVYxXBCkPHN-EA9T,non_sora,2025-01-03,
