dt,experiment_id,variation,country,active_users,d1,retention_d1
2025-04-02,app_sensitive_image_exp,1,Peru,2926,2349,0.8028024606971975
2025-04-02,app_sensitive_image_exp,0,Australia,122,100,0.819672131147541
2025-04-02,app_sensitive_image_exp,3,Venezuela,54,29,0.5370370370370371
2025-04-02,app_sensitive_image_exp,2,Ivory Coast,1,0,0.0
2025-04-02,app_sensitive_image_exp,4,Israel,7,3,0.42857142857142855
2025-04-02,app_sensitive_image_exp,1,Saint Martin,2,2,1.0
2025-04-02,app_sensitive_image_exp,0,Albania,2,2,1.0
2025-04-02,app_sensitive_image_exp,3,Bahrain,2,0,0.0
2025-04-02,app_sensitive_image_exp,1,Iceland,12,6,0.5
2025-04-02,app_sensitive_image_exp,2,Kiribati,1,0,0.0
2025-04-02,app_sensitive_image_exp,0,Laos,3,2,0.6666666666666666
2025-04-02,app_sensitive_image_exp,3,Syria,2,1,0.5
2025-04-02,app_sensitive_image_exp,1,Turkey,9502,7039,0.7407914123342454
2025-04-02,app_sensitive_image_exp,2,Peru,198,122,0.6161616161616161
2025-04-02,app_sensitive_image_exp,1,Vietnam,2873,2149,0.7479986077271145
2025-04-02,app_sensitive_image_exp,2,Mexico,1457,787,0.5401509951956074
2025-04-02,app_sensitive_image_exp,1,Honduras,417,341,0.8177458033573142
2025-04-02,app_sensitive_image_exp,0,India,163,131,0.803680981595092
2025-04-02,app_sensitive_image_exp,1,Morocco,914,693,0.7582056892778993
2025-04-02,app_sensitive_image_exp,2,Turkey,93,43,0.46236559139784944
2025-04-02,app_sensitive_image_exp,4,United Kingdom,49,24,0.4897959183673469
2025-04-02,app_sensitive_image_exp,4,Costa Rica,23,16,0.6956521739130435
2025-04-02,app_sensitive_image_exp,0,Uzbekistan,8,5,0.625
2025-04-02,app_sensitive_image_exp,4,Dominican Republic,38,24,0.631578947368421
2025-04-02,app_sensitive_image_exp,3,Kuwait,3,2,0.6666666666666666
2025-04-02,app_sensitive_image_exp,2,Lebanon,3,2,0.6666666666666666
2025-04-02,app_sensitive_image_exp,4,Jordan,6,2,0.3333333333333333
2025-04-02,app_sensitive_image_exp,3,Ireland,5,2,0.4
2025-04-02,app_sensitive_image_exp,0,Moldova,2,1,0.5
2025-04-02,app_sensitive_image_exp,0,Bahamas,1,1,1.0
2025-04-02,app_sensitive_image_exp,4,Estonia,1,1,1.0
2025-04-02,app_sensitive_image_exp,4,Mexico,1219,640,0.5250205086136177
2025-04-02,app_sensitive_image_exp,0,Guatemala,136,100,0.7352941176470589
2025-04-02,app_sensitive_image_exp,1,Israel,412,325,0.7888349514563107
2025-04-02,app_sensitive_image_exp,4,Czechia,10,7,0.7
2025-04-02,app_sensitive_image_exp,0,Taiwan,97,70,0.7216494845360825
2025-04-02,app_sensitive_image_exp,0,Seychelles,7,6,0.8571428571428571
2025-04-02,app_sensitive_image_exp,1,Jordan,84,60,0.7142857142857143
2025-04-02,app_sensitive_image_exp,0,Cuba,30,27,0.9
2025-04-02,app_sensitive_image_exp,0,Qatar,9,9,1.0
2025-04-02,app_sensitive_image_exp,1,Åland,1,1,1.0
2025-04-02,app_sensitive_image_exp,0,Fiji,2,1,0.5
2025-04-02,app_sensitive_image_exp,2,Suriname,1,1,1.0
